epoch,train_loss,source_val_loss,source_val_roc_auc,source_val_pr_auc,source_val_f1
1,0.2003481311920416,0.4038898918569636,0.9651301944946327,0.9822498450866922,0.8884817952828028
2,0.12121544454056335,0.07684058775050619,1.0,1.0,0.9961190168175937
3,0.10375067745195382,0.01800641477353361,1.0,1.0,1.0
4,0.08945319346739124,0.03240557375812969,0.9998198533319163,0.9999088126854169,0.9948717948717949
5,0.06865099115828067,0.09165006853789673,1.0,1.0,0.9639519359145527
6,0.06750846098800617,0.0449762756451386,0.999998937187799,0.9999994691411767,0.9953392024857587
7,0.04890034379514026,0.13496172278106686,1.0,1.0,0.9623015873015873
8,0.03540162153458931,0.028110990365498533,0.9999984057816984,0.9999992034381263,0.9910600255427842
9,0.03907624046476554,0.3611235874572022,0.9989648209161441,0.9994858877364285,0.9198672356567094
10,0.027441186377966872,0.12455943542277746,1.0,1.0,0.9544597143627055
11,0.03293380806059737,0.127275888122021,0.9992953555106813,0.999646642666506,0.9661354581673307
12,0.021098497547340344,0.4916772111147355,1.0,1.0,0.894627622780724
13,0.0245069473952219,0.019105330861062354,1.0,0.9999999999999999,0.9958592132505176
14,0.017913161315196935,0.0023824999945565696,1.0,1.0,0.999484270242393
15,0.021621543983987773,0.031829441099111545,0.9999792751620789,0.9999895758185068,0.9901093180635085
16,0.02591393630427774,0.059223580956833596,0.9999962801572962,0.9999981381572418,0.9837611314824516
17,0.01905217030373486,0.01516393485981348,0.9999654586034649,0.9999827482151675,0.9963824289405685
18,0.019593714249077895,0.11235400286823513,0.9995929429269848,0.9997980419313314,0.9695152423788106
19,0.01663020393186259,0.0392139966078684,0.9999973429694973,0.9999986716207915,0.9877380641794938
20,0.018482700169848657,0.028183788912905634,0.9999952173450951,0.9999976082589103,0.9922077922077922
