epoch,adapt_loss,n_selected,n_total,fused_score_mean,raw_dist_mean,tfr_dist_mean,agreement_mean,fused_cutoff,raw_cutoff,tfr_cutoff,agreement_cutoff
1,0.19318652153015137,8,80,0.032775595330167565,3.2338223308324814,2.8824343740940095,0.43727594912052153,0.017108235508203506,3.112866926193237,2.609754180908203,0.404812216758728
2,0.19822357263829973,9,80,0.030684608459705488,3.1923794627189634,2.077648912370205,1.1147305503487588,0.016207594238221646,3.069362020492554,1.8387836456298827,1.1465842723846436
3,0.2067047655582428,12,80,0.034725321468431505,3.3033470898866653,1.861839982122183,1.4415071077644825,0.017108235508203506,3.193052959442139,1.6052189350128174,1.5106763243675232
4,0.14405197249009058,13,80,0.03571053553605452,3.376409451663494,1.8273961536586285,1.5490132980048656,0.017108235508203506,3.276804780960083,1.5542293310165405,1.619981825351715
5,0.21303406996386393,14,80,0.03591736601665616,3.413239870965481,1.8111198186874389,1.6021200522780419,0.017108235508203506,3.3225033760070803,1.5632731676101685,1.6463268995285034
6,0.20745762586593627,15,80,0.035814324696548286,3.4344713509082796,1.8093684121966362,1.6251029387116431,0.017108235508203506,3.3513566493988036,1.5658266067504882,1.703418791294098
7,0.17163085606363085,18,80,0.03517791277263314,3.4378516897559166,1.806796621531248,1.6310550682246685,0.017108235508203506,3.3610808849334717,1.566688847541809,1.7106056213378906
8,0.20004897407795252,19,80,0.03390855765901506,3.4204205960035323,1.7814202085137367,1.6390003874897956,0.017108235508203506,3.3504402160644533,1.5385899305343629,1.7001917362213135
9,0.22926640794390724,21,80,0.03278181644272991,3.383998195827007,1.7618514642119407,1.6221467316150666,0.017108235508203506,3.310540294647217,1.514540672302246,1.6777170300483704
10,0.12920152005695162,21,80,0.032195921515813096,3.350300170481205,1.7561425983905792,1.5941575720906258,0.017108235508203506,3.2703882694244384,1.5112586975097657,1.670220136642456
