epoch,train_loss,source_val_loss,source_val_roc_auc,source_val_pr_auc,source_val_f1
1,0.501189649105072,0.5405260145664215,1.0,1.0,0.0
2,0.2425948147972425,0.2857250779867172,1.0,1.0,0.0
3,0.17031622752547265,0.20782991647720336,1.0,1.0,0.0
4,0.13193490281701087,0.1872816528659314,1.0,1.0,0.0
5,0.10958627040187517,0.1497352056670934,1.0,1.0,0.6153846153846154
6,0.08517228588461875,0.11601468555163592,1.0,1.0,0.6153846153846154
7,0.06885698611537615,0.0812065212521702,1.0,1.0,0.875
8,0.05954834197958311,0.060869759088382124,1.0,1.0,0.875
9,0.04901107909778754,0.0424275916069746,1.0,1.0,0.875
10,0.03524822567900022,0.03485823580995202,1.0,1.0,0.875
11,0.028308796634276708,0.029303715750575065,1.0,1.0,1.0
12,0.02731354609131813,0.024777455162256955,1.0,1.0,1.0
13,0.024070720374584197,0.06345683485269546,1.0,1.0,1.0
14,0.01856075016160806,0.023556886054575444,1.0,1.0,1.0
15,0.011658432427793741,0.015986189339309932,1.0,1.0,1.0
16,0.011244763309756914,0.014636681973934173,1.0,1.0,1.0
17,0.008692528524746498,0.013148854137398303,1.0,1.0,1.0
18,0.009821778691063324,0.011618595570325851,1.0,1.0,1.0
19,0.010439946114396055,0.0195821737870574,1.0,1.0,1.0
20,0.008050292606155078,0.010189475398510695,1.0,1.0,1.0
