epoch,train_loss,source_val_loss,source_val_roc_auc,source_val_pr_auc,source_val_f1
1,0.27676588494804305,0.3830883548959859,0.9959698161334892,0.9979877010157747,0.8967870344043218
2,0.18051369108925366,0.19891068787756355,0.9999192262727177,0.9999598657280717,0.9908972691807543
3,0.1478041858575547,0.048949304659744335,0.9999994685938994,0.9999997344338395,0.9984512132163139
4,0.13181978133875122,0.07488841936097942,0.9969465405462855,0.998369568055107,0.9835150900329698
5,0.11235525291085026,0.01674734070693799,1.0,1.0,0.9979423868312757
6,0.10123884946106264,0.04487801187469208,1.0,1.0,1.0
7,0.0784552931705573,0.09848968587354157,1.0,1.0,0.9558665231431647
8,0.08405810375393871,0.00838156187328663,1.0,1.0,1.0
9,0.06865764891611144,0.3434640096517706,0.9845004782654904,0.9921122994740699,0.8892684315399944
10,0.05985257331593141,0.02188213265019281,0.9999447337655436,0.9999724380591788,0.9963824289405685
11,0.058256638812439684,0.021123325324466556,0.9999973429694973,0.9999986716207915,0.9946167649320687
12,0.05015988917670275,0.0018237299216672602,1.0,1.0,1.0
13,0.045471714168632583,0.02073710487721275,1.0,1.0,0.9950789950789951
14,0.04548756467792345,0.006713649813655594,0.9999994685938994,0.9999997344338395,0.9987096774193548
15,0.04001308192920638,0.10840131788986954,1.0,1.0,0.9686337054758107
16,0.04322031459771497,0.04092030898850067,1.0,1.0,0.9877380641794938
17,0.046583243286962915,0.0011509912343082426,1.0,1.0,1.0
18,0.03944476304501391,0.04746441319309017,0.9993059836326921,0.9996448110058146,0.9851601145535017
19,0.03066108521912467,0.010838829865196119,0.9999638643851632,0.9999819494186751,0.9974253347064882
20,0.03141620647678967,0.020663281314219663,0.9999920289084919,0.9999960193665068,0.9937759336099585
