variant,target_roc_auc,target_pr_auc,target_f1
fused,0.6778857123406752,0.7436758124451442,0.6587119935866901
raw_only,0.6837882290717525,0.7464336430326324,0.6417343032662887
tfr_only,0.6696567123302019,0.7101292279596543,0.6659591461613366
