epoch,train_loss,source_val_loss,source_val_roc_auc,source_val_pr_auc,source_val_f1
1,0.6417957325776418,0.5198887407779693,1.0,1.0,0.0
2,0.29052909314632414,0.2761630658060312,1.0,1.0,0.0
3,0.12071361156801383,0.3003278436488472,1.0,1.0,0.0
4,0.06011361566682657,0.17970971806207672,1.0,1.0,0.6153846153846154
5,0.026559954012433686,0.08328818439040334,1.0,1.0,0.875
6,0.02399060900012652,0.06383459127391689,1.0,1.0,0.875
7,0.03311700550839305,0.031885939756466544,1.0,1.0,0.875
8,0.02936713763823112,0.011826965771615506,1.0,1.0,1.0
9,0.02517250456924861,0.05116595104336739,1.0,1.0,1.0
10,0.03376942599813144,0.18010712563991546,1.0,1.0,1.0
11,0.014881891656356554,0.010768046998418868,1.0,1.0,1.0
12,0.01207471868644158,0.007502259314060211,1.0,1.0,1.0
13,0.017223487697386495,0.13132209032773973,1.0,1.0,1.0
14,0.023494871822185813,1.174863576889038,1.0,1.0,0.20224719101123595
15,0.004332845190462346,0.09457633521474236,1.0,1.0,0.875
16,0.018493669336506476,0.0365286969965382,1.0,1.0,0.875
17,0.02072904494125396,0.2723162263631821,1.0,1.0,1.0
18,0.012054559006355704,0.17291568326763737,1.0,1.0,0.875
19,0.006879257420465971,0.0756025418240597,1.0,1.0,0.875
20,0.0026188225058528286,0.026986130632576533,1.0,1.0,0.875
