epoch,train_loss,source_val_loss,source_val_roc_auc,source_val_pr_auc,source_val_f1
1,0.64527428150177,0.6456775784492492,1.0,1.0,0.0
2,0.31699274430672325,0.3685846239328384,1.0,1.0,0.0
3,0.1994856604685386,0.2977484431117773,1.0,1.0,0.0
4,0.14303183083732923,0.35324239970650523,1.0,1.0,0.0
5,0.09231527956823508,0.3986976062500617,1.0,1.0,0.0
6,0.0716895017772913,0.42504942089581166,1.0,1.0,0.0
7,0.053000189488132794,0.357182199872841,1.0,1.0,0.0
8,0.0432342279702425,0.2226948461320717,1.0,1.0,0.2
9,0.034184183832257985,0.2360843035072321,1.0,1.0,0.2
10,0.024305861676111817,0.16518545272992924,1.0,1.0,0.6153846153846154
11,0.016439385215441384,0.09111123144684825,1.0,1.0,0.875
12,0.007673909732451041,0.1176410877782473,1.0,1.0,0.875
13,0.005598133837338537,0.10321027866739314,1.0,1.0,0.875
14,0.006279815671344598,0.05241749875131063,1.0,1.0,0.875
15,0.0024164920983215173,0.22260803674607815,1.0,1.0,0.6153846153846154
16,0.001186666009016335,0.23578087003443216,1.0,1.0,0.6153846153846154
17,0.0008319595983872811,0.1166017205658136,1.0,1.0,0.875
18,0.0007109011892074098,0.04850188328418881,1.0,1.0,0.9411764705882353
19,0.00033737805497366933,0.04242721379268914,1.0,1.0,0.9411764705882353
20,0.0003490146618181219,0.055492813925957306,1.0,1.0,0.9411764705882353
