variant,threshold,source_val_roc_auc,source_val_pr_auc,source_val_f1,source_val_tn,source_val_fp,source_val_fn,source_val_tp,target_test_roc_auc,target_test_pr_auc,target_test_f1,target_test_tn,target_test_fp,target_test_fn,target_test_tp,delta_roc_auc,delta_pr_auc
raw_only,0.4026341736316681,0.578125,0.6629815917797807,0.6666666666666666,0,40,0,40,0.65875,0.69320496233707,0.6666666666666666,0,40,0,40,-0.08062499999999995,-0.030223370557289297
tfr_only,0.9956057245135308,0.696875,0.7505473163273433,0.7,15,25,5,35,0.653125,0.7227521110757176,0.6346153846153846,9,31,7,33,0.04375000000000007,0.02779520525162571
fused,0.38272380888462065,0.686875,0.713613509443022,0.7184466019417476,14,26,3,37,0.47000000000000003,0.6093984069068806,0.6379310344827587,1,39,3,37,0.21687499999999998,0.10421510253614141
