epoch,adapt_loss,n_selected,n_total,fused_score_mean,raw_dist_mean,tfr_dist_mean,agreement_mean,fused_cutoff,raw_cutoff,tfr_cutoff,agreement_cutoff
1,0.05642621964216232,8,20,0.3838107749819756,0.019539237720891833,0.03288251347839832,0.015325066866353154,0.38272380888462065,0.019195380806922912,0.025712310895323755,0.013428001664578915
2,0.05714287608861923,8,20,0.3814308911561966,0.05931163486093283,0.10620343647897243,0.04689180161803961,0.38111323714256284,0.05754860937595367,0.10328743159770966,0.0466030091047287
3,0.05869290977716446,8,20,0.37900246530771253,0.10843881033360958,0.18536901399493216,0.0769302036613226,0.378683990240097,0.10577961951494216,0.1829645812511444,0.07791978493332863
4,0.054368309676647186,8,20,0.3764098733663559,0.15683403462171555,0.2573381274938583,0.10050409287214279,0.37604405283927916,0.15334682762622834,0.254725444316864,0.1024257242679596
5,0.053676050156354904,8,20,0.3740593269467354,0.20415861830115317,0.32319860607385636,0.11903998777270317,0.37364084720611573,0.2000929057598114,0.31946952939033507,0.1210193932056427
6,0.05514704808592796,8,20,0.371920508146286,0.2505947321653366,0.38415643721818926,0.13356170505285264,0.3714823484420776,0.246288201212883,0.37948681116104127,0.1357971355319023
7,0.057867974042892456,8,20,0.37000210136175155,0.29662352204322817,0.4411089435219765,0.14448542147874832,0.36960025131702423,0.29211201071739196,0.43574110269546507,0.14745351672172546
8,0.057874783873558044,8,20,0.3682646512985229,0.3423164501786232,0.49483992010354994,0.15252346992492677,0.36775645315647126,0.3376095652580261,0.4903723418712616,0.15619589388370514
9,0.05642848461866379,8,20,0.3667380020022392,0.3879016816616058,0.5459701359272003,0.1580684542655945,0.366139680147171,0.3829416036605835,0.5423324346542359,0.16194328665733337
10,0.05077160522341728,8,20,0.36544676423072814,0.4335606813430786,0.5955119907855988,0.16195130944252015,0.3648219585418701,0.42783355712890625,0.591577672958374,0.16570380330085754
