epoch,train_loss,source_val_loss,source_val_roc_auc,source_val_pr_auc,source_val_f1
1,0.6417956491311391,0.5198664367198944,1.0,1.0,0.0
2,0.2905223106344541,0.2760908976197243,1.0,1.0,0.0
3,0.12070949909587701,0.29982273386558517,1.0,1.0,0.0
4,0.06012309193611145,0.17881988730514423,1.0,1.0,0.6153846153846154
5,0.026558083730439344,0.0827258441131562,1.0,1.0,0.875
6,0.0239792267481486,0.06291307764186058,1.0,1.0,0.875
7,0.0331183020491153,0.030805660759506283,1.0,1.0,0.875
8,0.029358394475032887,0.011685917945578694,1.0,1.0,1.0
9,0.025163383793551476,0.05306488573551178,1.0,1.0,1.0
10,0.03388478007012357,0.17793630361557006,1.0,1.0,1.0
11,0.014861938768687348,0.011012657545506954,1.0,1.0,1.0
12,0.012111931301963827,0.007535463874228298,1.0,1.0,1.0
13,0.01740058483555913,0.12477123737335205,1.0,1.0,1.0
14,0.023429526245066275,1.288228440284729,1.0,1.0,0.20224719101123595
15,0.004501360967212046,0.0915582358129086,1.0,1.0,0.875
16,0.017528251911668728,0.037876396884894345,1.0,1.0,0.875
17,0.02106336626942114,0.19984776377677918,1.0,1.0,1.0
18,0.010503652914970492,0.16528763827518417,1.0,1.0,0.875
19,0.006944494744917999,0.060603173712388526,1.0,1.0,0.875
20,0.0024950716528110207,0.02236496107507264,1.0,1.0,0.875
