epoch,train_loss,source_val_loss,source_val_roc_auc,source_val_pr_auc,source_val_f1
1,0.6452742755413056,0.6456778645515442,1.0,1.0,0.0
2,0.31699233998854953,0.368569153547287,1.0,1.0,0.0
3,0.1994690891355276,0.2977354709059,1.0,1.0,0.0
4,0.14300401074190935,0.3531321907881647,1.0,1.0,0.0
5,0.0922898246596257,0.39912741984589956,1.0,1.0,0.0
6,0.07166208202640216,0.4264366579132911,1.0,1.0,0.0
7,0.0529669975861907,0.36196070725709434,1.0,1.0,0.0
8,0.04321553719540437,0.22509805956797208,1.0,1.0,0.2
9,0.03416290443080167,0.23921610311663244,1.0,1.0,0.2
10,0.024258241709321737,0.1611232426846982,1.0,1.0,0.6153846153846154
11,0.01640138781319062,0.0912941474642139,1.0,1.0,0.875
12,0.007643344439566135,0.11145885342557449,1.0,1.0,0.875
13,0.0056395344979440175,0.11295170001430961,1.0,1.0,0.875
14,0.006301493880649408,0.06724888317403384,1.0,1.0,0.875
15,0.00224432065927734,0.27795331212673774,1.0,1.0,0.6153846153846154
16,0.0013049299188423902,0.20763157067376597,1.0,1.0,0.6153846153846154
17,0.0008425677738462885,0.09482071760721737,1.0,1.0,0.875
18,0.0006715048550783346,0.05418783380882815,1.0,1.0,0.9411764705882353
19,0.0003453531098784879,0.05663895460020285,1.0,1.0,0.9411764705882353
20,0.0003476703888736665,0.07252160270727473,1.0,1.0,0.875
