epoch,train_loss,source_val_loss,source_val_roc_auc,source_val_pr_auc,source_val_f1
1,0.4924757719039917,0.5426853716373443,1.0,1.0000000000000002,0.0
2,0.22359012216329574,0.29566833972930906,1.0,1.0,0.0
3,0.1444815029700597,0.22132320143282413,1.0,1.0,0.0
4,0.10733145239452521,0.21691407985053957,1.0,1.0,0.0
5,0.0871374564866225,0.18886468270793558,1.0,1.0,0.6153846153846154
6,0.07317571012924115,0.16321078264154493,1.0,1.0,0.6153846153846154
7,0.053441456394890945,0.12286225655116141,1.0,1.0,0.6153846153846154
8,0.04757852281133334,0.09185651363804936,1.0,1.0,0.8
9,0.04183673976610104,0.06777828314807266,1.0,1.0,0.875
10,0.0342993937432766,0.05287183560431004,1.0,1.0,0.875
11,0.03551546881596247,0.045307134510949254,1.0,1.0,0.875
12,0.02491703281799952,0.03972083339467645,1.0,1.0,0.875
13,0.021049305439616244,0.035857974807731806,1.0,1.0,0.875
14,0.021539836081986626,0.03197398786433041,1.0,1.0,0.875
15,0.019654555525630713,0.027789760613813996,1.0,1.0,0.875
16,0.02008723057806492,0.025127049116417766,1.0,1.0,0.875
17,0.012974604219198226,0.022254125657491387,1.0,1.0,0.875
18,0.010999522265046835,0.018267284240573646,1.0,1.0,1.0
19,0.009923534250507753,0.01558147999458015,1.0,1.0,1.0
20,0.007978290187505383,0.018299561680760235,1.0,1.0,1.0
