epoch,train_loss,source_val_loss,source_val_roc_auc,source_val_pr_auc,source_val_f1
1,0.47320256431897484,0.5301486253738403,0.9696969696969697,0.6095238095238096,0.0
2,0.19170606434345244,0.253552770614624,0.974025974025974,0.5,0.0
3,0.11833733034630617,0.11637551970779896,1.0,1.0,0.0
4,0.0883660244445006,0.11695271180942654,1.0,1.0,0.0
5,0.0725910034030676,0.1219434204569552,1.0,1.0,0.0
6,0.05894517904768388,0.08943507285439409,1.0,1.0,0.0
7,0.049685458404322466,0.0636211131582968,1.0,1.0,0.0
8,0.04443202142914136,0.05160558364004828,1.0,1.0,0.0
9,0.038983156252652404,0.040320347261149435,1.0,1.0,0.0
10,0.03260743444164594,0.03335626320913434,1.0,1.0,0.5
11,0.029915879139055808,0.030194168165326118,1.0,1.0,1.0
12,0.025611660567422707,0.02681256369687617,1.0,1.0,1.0
13,0.02145433376232783,0.022589052375406028,1.0,1.0,1.0
14,0.020139387032637995,0.022096195397898553,1.0,1.0,1.0
15,0.01499653773692747,0.019752054009586573,1.0,1.0,1.0
16,0.01412977504854401,0.019284605071879922,1.0,1.0,1.0
17,0.0106782757366697,0.018290917412377893,1.0,1.0,1.0
18,0.00817674359617134,0.018012435897253452,1.0,1.0,1.0
19,0.007231477679063876,0.016373181517701597,1.0,1.0,1.0
20,0.006969675382909675,0.019666641671210527,1.0,1.0,1.0
