epoch,train_loss,source_val_loss,source_val_roc_auc,source_val_pr_auc,source_val_f1
1,0.48301469986764795,0.29437432705591887,1.0,1.0,0.0
2,0.08969553502706382,0.19495097900597522,1.0,1.0,0.6153846153846154
3,0.02298665640509536,0.055247060711292595,1.0,1.0,0.9090909090909091
4,0.0061601691234570285,0.006768540509092884,1.0,1.0,1.0
5,0.017587712632579744,0.0038936458504161774,1.0,1.0,1.0
6,0.0021727180743239755,0.002596438713132953,1.0,1.0,1.0
7,0.0029514091831639917,0.0014415269550413657,1.0,1.0,1.0
8,0.0010017441319745495,0.0008743710051744413,1.0,1.0,1.0
9,0.0007350936041484213,0.0008990624382232244,1.0,1.0,1.0
10,0.0004907099746016419,0.0005855245429138916,1.0,1.0,1.0
11,0.0007120784731287287,0.0006322589201422838,1.0,1.0,1.0
12,0.004348245675602936,0.022718157810278427,1.0,1.0,1.0
13,0.0026856195997510455,0.0026846326475676438,1.0,1.0,1.0
14,0.0016041738777142814,0.08963560523130955,1.0,1.0,0.9090909090909091
15,0.0005325268670214085,0.008114951643345846,1.0,1.0,0.9714285714285714
16,0.0001765337723414772,0.0004042800712154414,1.0,1.0,1.0
17,0.004471456157401777,0.00031228602016105864,1.0,1.0,1.0
18,0.0007279260709889743,0.006679587949735996,1.0,1.0,1.0
19,0.0005881557353237658,0.0001591825775670795,1.0,1.0,1.0
20,0.00016555024213187443,7.839834198910886e-05,1.0,1.0,1.0
