epoch,adapt_loss,n_selected,n_total,fused_score_mean,raw_dist_mean,tfr_dist_mean,agreement_mean,fused_cutoff,raw_cutoff,tfr_cutoff,agreement_cutoff
1,0.05392385692646106,4200,19938,0.5041963511385762,1.3783890580009583,2.853491647585375,1.6801175140276026,0.0036678715143352737,0.8839587330818176,1.0774819135665894,1.5561858117580414
2,0.03116715995101146,5312,19938,0.5167492448667296,1.318078683598991,8.65428290384376,7.336208241618105,0.012794782780110833,0.2886327028274536,4.592264080047608,7.953662395477295
3,0.030905030569121174,5475,19938,0.5097096231580018,1.3435098921996156,8.301051956899176,6.957585380188332,0.01252866880968213,0.3472712278366089,4.216074085235596,7.546330492943525
4,0.030364775031137776,5047,19938,0.5072177660433762,1.3532363046310063,8.009307502673364,6.656163189237683,0.011737910658121109,0.3702772557735443,4.014883613586426,7.208608388900757
5,0.03053224389059622,4758,19938,0.5059322088275601,1.3692403054714042,7.716635237721924,6.347652067737395,0.011361267510801553,0.4085736393928528,3.6704447746276854,6.837050870060921
6,0.03030427799164751,4671,19938,0.5050640750888414,1.3617676977669448,7.873457750556091,6.511894071228224,0.011197570618242026,0.39138746857643125,3.8199635982513427,7.019264578819275
7,0.030249070179437305,4507,19938,0.5034969252926489,1.3699311530745362,7.768126987244447,6.398478024229161,0.011251324974000453,0.40953858494758605,3.722364377975464,6.887133210897446
8,0.029457740036268082,4410,19938,0.5006966427438393,1.3721199477070318,7.8324921958014695,6.460642195880422,0.011034913826733828,0.4141420602798462,3.826878786087036,6.95619759708643
9,0.031219632319184006,4307,19938,0.4986655092212652,1.3744600754078375,7.73969934974828,6.365594717600808,0.010878055170178412,0.42452179193496703,3.6245596408844,6.816625438630581
10,0.029540444609393576,4289,19938,0.4961417611378542,1.3748060711832788,7.87115457787032,6.496688327552972,0.010650960169732571,0.42681461572647095,3.7765606880187987,6.975039720535278
