dataset,stage,variant,experiment_name,run_name,summary_path,threshold_config,threshold_used,best_threshold_source_val_f1,source_val_roc_auc,source_val_pr_auc,source_val_f1,source_val_loss,source_val_tn,source_val_fp,source_val_fn,source_val_tp,target_test_roc_auc,target_test_pr_auc,target_test_f1,target_test_loss,target_test_tn,target_test_fp,target_test_fn,target_test_tp
window_sweep,source_only,fused,,,experiments/window_sweep/ws_2048_st_256_any_overlap_mf_0p0/source_only_training/fused/summary.json,,,,1.0,1.0,0.0,0.29437432705591887,138,0,18,0,1.0,1.0,0.0,0.334711091258587,138,0,18,0
window_sweep,source_only,fused,,,experiments/window_sweep/ws_2048_st_512_any_overlap_mf_0p0/source_only_training/fused/summary.json,,,,1.0,1.0,0.0,0.49687986969947817,71,0,9,0,1.0,1.0,0.0,0.49949186444282534,71,0,9,0
window_sweep,source_only,fused,,,experiments/window_sweep/ws_2048_st_512_min_fraction_mf_0p02/source_only_training/fused/summary.json,,,,1.0,1.0,0.0,0.49687986969947817,71,0,9,0,1.0,1.0,0.0,0.49949186444282534,71,0,9,0
window_sweep,source_only,fused,,,experiments/window_sweep/ws_2048_st_512_min_fraction_mf_0p05/source_only_training/fused/summary.json,,,,1.0,1.0,0.0,0.5199020624160766,71,0,9,0,0.9930555555555556,0.931795634920635,0.0,0.5165779769420624,72,0,8,0
window_sweep,source_only,fused,,,experiments/window_sweep/ws_2048_st_512_min_fraction_mf_0p1/source_only_training/fused/summary.json,,,,1.0,1.0,0.0,0.11265221746871248,77,0,3,0,1.0,0.9999999999999998,0.0,0.3029893239727244,73,0,7,0
window_sweep,source_only,raw_only,,,experiments/window_sweep/ws_1024_st_256_any_overlap_mf_0p0/source_only_training/raw_only/summary.json,,,,1.0,0.9999999999999999,0.0,0.24079253888407418,162,0,10,0,1.0,0.9999999999999999,0.0,0.24250700307446857,162,0,10,0
window_sweep,source_only,raw_only,,,experiments/window_sweep/ws_2048_st_256_any_overlap_mf_0p0/source_only_training/raw_only/summary.json,,,,1.0,1.0,0.0,0.3211702161874527,138,0,18,0,1.0,1.0,0.0,0.32923649671750194,138,0,18,0
window_sweep,source_only,raw_only,,,experiments/window_sweep/ws_2048_st_512_any_overlap_mf_0p0/source_only_training/raw_only/summary.json,,,,1.0,1.0,0.0,0.5405260145664215,71,0,9,0,1.0,1.0,0.0,0.5411858856678009,71,0,9,0
window_sweep,source_only,raw_only,,,experiments/window_sweep/ws_2048_st_512_min_fraction_mf_0p02/source_only_training/raw_only/summary.json,,,,1.0,1.0,0.0,0.5405260145664215,71,0,9,0,1.0,1.0,0.0,0.5411858856678009,71,0,9,0
window_sweep,source_only,raw_only,,,experiments/window_sweep/ws_2048_st_512_min_fraction_mf_0p05/source_only_training/raw_only/summary.json,,,,1.0,1.0,0.0,0.5426836490631104,71,0,9,0,0.9930555555555556,0.931795634920635,0.0,0.5385490953922272,72,0,8,0
window_sweep,source_only,raw_only,,,experiments/window_sweep/ws_2048_st_512_min_fraction_mf_0p1/source_only_training/raw_only/summary.json,,,,1.0,1.0,0.0,0.11637551970779896,77,0,3,0,1.0,1.0,0.0,0.24905820712447166,73,0,7,0
window_sweep,source_only,tfr_only,,,experiments/window_sweep/ws_1024_st_256_any_overlap_mf_0p0/source_only_training/tfr_only/summary.json,,,,1.0,0.9999999999999999,0.0,0.13583945123435454,162,0,10,0,1.0,0.9999999999999999,0.0,0.15686484980721807,162,0,10,0
window_sweep,source_only,tfr_only,,,experiments/window_sweep/ws_2048_st_256_any_overlap_mf_0p0/source_only_training/tfr_only/summary.json,,,,1.0,1.0,0.0,0.3297777565625998,138,0,18,0,1.0,1.0,0.0,0.3816059305308721,138,0,18,0
window_sweep,source_only,tfr_only,,,experiments/window_sweep/ws_2048_st_512_any_overlap_mf_0p0/source_only_training/tfr_only/summary.json,,,,1.0,1.0,0.0,0.45749648213386535,71,0,9,0,1.0,1.0,0.0,0.459198933839798,71,0,9,0
window_sweep,source_only,tfr_only,,,experiments/window_sweep/ws_2048_st_512_min_fraction_mf_0p02/source_only_training/tfr_only/summary.json,,,,1.0,1.0,0.0,0.45749648213386535,71,0,9,0,1.0,1.0,0.0,0.459198933839798,71,0,9,0
window_sweep,source_only,tfr_only,,,experiments/window_sweep/ws_2048_st_512_min_fraction_mf_0p05/source_only_training/tfr_only/summary.json,,,,1.0,1.0,0.0,0.46445955634117125,71,0,9,0,0.998263888888889,0.9861111111111112,0.0,0.4571272075176239,72,0,8,0
window_sweep,source_only,tfr_only,,,experiments/window_sweep/ws_2048_st_512_min_fraction_mf_0p1/source_only_training/tfr_only/summary.json,,,,1.0,1.0,0.0,0.07967343423515558,77,0,3,0,0.9843444227005871,0.827437641723356,0.0,0.14381631556898355,73,0,7,0
