dataset,stage,variant,experiment_name,run_name,summary_path,threshold_used_source_val,source_anomaly_rate,target_threshold_before,target_threshold_after,target_threshold_before_mode,target_threshold_after_mode,before_source_val_roc_auc,before_source_val_pr_auc,before_source_val_f1,after_source_val_roc_auc,after_source_val_pr_auc,after_source_val_f1,before_target_test_source_threshold_roc_auc,before_target_test_source_threshold_pr_auc,before_target_test_source_threshold_f1,after_target_test_source_threshold_roc_auc,after_target_test_source_threshold_pr_auc,after_target_test_source_threshold_f1,before_target_test_target_calibrated_roc_auc,before_target_test_target_calibrated_pr_auc,before_target_test_target_calibrated_f1,after_target_test_target_calibrated_roc_auc,after_target_test_target_calibrated_pr_auc,after_target_test_target_calibrated_f1,delta_source_val_roc_auc,delta_source_val_pr_auc,delta_source_val_f1,delta_target_test_source_threshold_roc_auc,delta_target_test_source_threshold_pr_auc,delta_target_test_source_threshold_f1,delta_target_test_target_calibrated_roc_auc,delta_target_test_target_calibrated_pr_auc,delta_target_test_target_calibrated_f1
mimii_due,sfda,fused,fan_section_00,run_001_supervised_pilot,experiments/mimii_due/fan_section_00/run_001_supervised_pilot/source_free_adaptation/fused/summary.json,0.02334458939731121,0.5,0.36247506737709045,0.5394114404916763,upper_tail_gap,upper_tail_gap,0.7338551779935274,0.7803269684887566,0.6840227798986169,0.732296582566165,0.7763457473798325,0.684708261464343,0.6778857123406752,0.7436758124451442,0.6587119935866901,0.6598054602486358,0.7233963858009546,0.6607892716846525,0.6778857123406752,0.7436758124451442,0.4286786786786787,0.6598054602486358,0.7233963858009546,0.36175683475888126,-0.0015585954273623637,-0.003981221108924071,0.0006854815657261204,-0.01808025209203934,-0.02027942664418969,0.0020772780979624317,-0.01808025209203934,-0.02027942664418969,-0.06692184391979744
paderborn,sfda,fused,N15_M07_F10__to__N09_M07_F10__binary_vibration,run_002_full_8codesx20,experiments/paderborn/N15_M07_F10__to__N09_M07_F10__binary_vibration/run_002_full_8codesx20/source_free_adaptation/fused/summary.json,0.8848375678062439,0.5000500801282052,0.9999035000801086,0.9994143843650818,upper_tail_gap,upper_tail_gap,0.9965046237090787,0.996488333996605,0.9727064448650264,0.9978202202632808,0.997817834912156,0.3434259643301535,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9998993963782696,1.0,1.0,0.7039958281728701,0.001315596554202103,0.0013295009155510629,-0.629280480534873,0.0,0.0,0.0,0.0,0.0,-0.29590356820539954
source_free_adaptation,sfda,fused,,,experiments/source_free_adaptation/fused/summary.json,0.38506463170051575,0.1125,0.4374677836894989,0.43985380232334137,upper_tail_gap,upper_tail_gap,1.0,1.0,1.0,1.0,1.0,1.0,0.9184027777777777,0.6933348187759953,0.18181818181818182,0.9791666666666667,0.8654761904761905,0.18181818181818182,0.9184027777777777,0.6933348187759953,0.5454545454545454,0.9791666666666667,0.8654761904761905,0.6666666666666666,0.0,0.0,0.0,0.06076388888888906,0.17214137170019517,0.0,0.06076388888888906,0.17214137170019517,0.12121212121212122
synthetic,sfda,fused,synthetic_fused_justification,run_001,experiments/synthetic/synthetic_fused_justification/run_001/source_free_adaptation/fused/summary.json,0.38506463170051575,0.1125,0.4374677836894989,0.43985380232334137,upper_tail_gap,upper_tail_gap,1.0,1.0,1.0,1.0,1.0,1.0,0.9184027777777777,0.6933348187759953,0.18181818181818182,0.9791666666666667,0.8654761904761905,0.18181818181818182,0.9184027777777777,0.6933348187759953,0.5454545454545454,0.9791666666666667,0.8654761904761905,0.6666666666666666,0.0,0.0,0.0,0.06076388888888906,0.17214137170019517,0.0,0.06076388888888906,0.17214137170019517,0.12121212121212122
