epoch,adapt_loss,n_selected,n_total,fused_score_mean,raw_dist_mean,tfr_dist_mean,agreement_mean,fused_cutoff,raw_cutoff,tfr_cutoff,agreement_cutoff
1,0.6348294393488472,1537,12125,0.7285464122863617,4.631148673013313,1.7582848654973138,3.8330683623834982,0.5,2.69492564201355,0.8801534295082092,2.4073930978775024
2,0.1519771122349584,2168,12125,0.6141020207697497,7.346539822868465,5.703615462015585,7.596200570035227,0.4157912492752075,5.856764221191407,1.2605051517486574,6.541003406047821
3,0.0776102794198757,1924,12125,0.2799904860894282,6.947273831420338,9.337785451540627,9.967023703710934,0.06687383800745007,5.51062126159668,1.9781916856765747,7.083651661872864
4,0.0646050498025893,1639,12125,0.1965197643567952,6.998561634535642,11.858494036503673,11.67507171715289,0.04479450136423111,5.538741111755372,2.765207099914551,7.161232233047485
5,0.0597877480959183,874,12125,0.08956553301403357,7.137101019956402,11.739890306563721,11.530753565826366,0.02126151770353317,5.64351749420166,2.8727569580078125,7.242097973823547
6,0.06263482771240748,104,12125,0.09788975443145663,7.3501213202574815,11.399155594176852,11.082237589664066,0.013187418319284916,5.972098731994629,2.826813220977783,7.1021645069122314
7,0.058619161111277504,74,12125,0.09678069995551072,6.751142875142933,10.30957207211637,9.967778722796243,0.01701679266989231,5.403271007537842,2.681373691558838,6.30458390712738
8,0.060188254341483116,80,12125,0.09970696900592944,6.166629020569251,9.363535458715306,9.335473626417597,0.01799018308520317,4.867672634124756,2.2072996139526366,5.951911687850952
9,0.05789908738631123,53,12125,0.0988792413797268,6.170999740760351,9.18483413382658,9.110030535321874,0.01871182918548584,4.854564476013184,2.260824823379517,5.849314451217651
10,0.05244248218479611,42,12125,0.10016396197100583,5.979746516258446,8.891604333296264,8.928079625596705,0.01835632137954235,4.696145915985108,2.080951976776123,5.741679906845093
