epoch,train_loss,source_val_loss,source_val_roc_auc,source_val_pr_auc,source_val_f1
1,0.11683541316625072,0.9908300682235232,0.9660498200470428,0.9628033294400491,0.256140350877193
2,0.0006217002204139281,2.5593804874080535,0.9720576983024911,0.9684654065108076,0.004016064257028112
3,0.0005483606090595017,0.977046346556118,0.9762154415426159,0.9752043546766923,0.3265993265993266
4,0.0022123046629262014,1.6289314670259625,0.9775433283807473,0.9764568066653402,0.11385199240986717
5,0.008754042611479426,1.000400438102738,0.9587707330502128,0.9586387199970268,0.3811074918566775
6,0.018478791609028357,0.2388803940783154,0.9684707844653434,0.9678374875696458,0.9074975657254138
7,0.0036250011009974375,1.8878252062275707,0.9671955272884792,0.9662290944340889,0.0547945205479452
8,0.0005873577137751986,1.897418912569477,0.9699889477711339,0.969606268293404,0.07736943907156674
9,0.0003596509249560563,2.4758382821059737,0.9672076725949257,0.9669337838943495,0.004016064257028112
10,0.0003700932930500335,2.587087327845149,0.9670335898691951,0.9667118177780716,0.004016064257028112
11,0.000162984399608919,2.1498381064420515,0.9692885684327291,0.9692089336803832,0.03557312252964427
12,0.00032092137299263726,2.2808278132547666,0.9674222396754774,0.9673599899780084,0.0199203187250996
13,0.0050003966381325085,2.5668044122675213,0.9716690484962087,0.9713475142022202,0.0199203187250996
14,0.012239348938962195,0.6103678871868122,0.9616410738070273,0.9584904946301582,0.5915492957746479
15,0.000201932620624963,0.802729432244356,0.9620499657907202,0.9584324036377504,0.5037481259370314
16,0.00011571029548580576,0.9807487774183093,0.9622159516454867,0.9585941264977637,0.39095315024232635
17,0.001363778367021493,0.7698165476209741,0.9690416138683206,0.9661281084759505,0.5598845598845599
18,0.013515795074507286,1.5801089054584443,0.9729281119311441,0.9720541100062716,0.0994263862332696
19,0.009504980312892113,0.7469298920371163,0.9726325761409503,0.9730932553216183,0.446875
20,0.0002856339584208659,0.798497728808545,0.9731669696245886,0.9736671228110958,0.4044943820224719
