epoch,train_loss,source_val_loss,source_val_roc_auc,source_val_pr_auc,source_val_f1
1,0.2766510769596829,0.5270106358722467,0.9897465192900415,0.9949213415549186,0.8500296384113811
2,0.1803318534292844,0.21179596115497717,0.9993373365926241,0.9996408538102561,0.9885535900104059
3,0.14676913138850242,0.04708620659709417,0.9999707726644701,0.9999856696590128,0.9961190168175937
4,0.13051843820043754,0.08317693969959135,0.9964385163141672,0.9980999125491601,0.9783047426841575
5,0.11002942127954932,0.013956880655708959,1.0,1.0,0.9984559958826557
6,0.09889869087622133,0.07923227712508128,0.9991295568073121,0.9995456873561277,0.9774278215223097
7,0.07377876998161373,0.27308358370720254,0.9998416409820384,0.9999209895314681,0.8964732650739476
8,0.07756355910368354,0.01156782169655422,1.0,1.0,0.999484270242393
9,0.06477354472089812,0.3089301089078401,0.982895100435753,0.9914338007146799,0.9031354983202687
10,0.058864384477528425,0.03895358865705292,0.9998559889467531,0.9999279829644084,0.9890390007647208
11,0.05732153878605059,0.032741637429299635,0.999841109575938,0.9999205680141392,0.9905539954046464
12,0.04910831244262751,0.001987398868988359,1.0,1.0,0.9997422015983501
13,0.0470437903960033,0.01219133840952264,1.0,1.0,0.9971568880847764
14,0.03821937505788285,0.01136766587285719,0.9999888404718886,0.9999944305845823,0.9979349509550852
15,0.04005368322741498,0.0012212981343450462,1.0,1.0,1.0
16,0.04154914098727169,0.068671777580752,1.0,1.0,0.9759831089997361
17,0.0438369208969127,0.004485027380751865,1.0,1.0,1.0
18,0.03981160498587247,0.08455005462079548,0.9939132745243915,0.9967409436504919,0.9777322754031226
19,0.02688815393607145,0.012759576085413664,0.9999962801572962,0.9999981433568235,0.9974160206718347
20,0.037292787335297777,0.006958862216206279,0.9999957487511957,0.9999978750573655,0.9987103430487491
