epoch,train_loss,source_val_loss,source_val_roc_auc,source_val_pr_auc,source_val_f1
1,0.2909955044075386,0.054152902835520794,1.0,1.0,0.999742334449884
2,0.1957033674242263,0.006973586555039178,1.0,1.0,1.0
3,0.15425679674596107,0.10514064162646522,1.0,1.0,0.9672611125898323
4,0.12023278024284444,0.026724997404251154,0.9999984057816984,0.9999992034381263,0.9984512132163139
5,0.09889834083119069,0.01682089049556055,0.9999973429694973,0.9999986716207915,0.9976750193748385
6,0.09518758099649383,0.0063918587655979395,1.0,1.0,0.9997422015983501
7,0.08843198850858137,0.009801293177999264,0.9999989371877989,0.9999994687307893,0.999484270242393
8,0.08169970620668388,0.07188769495564337,0.9995669040280583,0.9997807012435905,0.9805672268907563
9,0.06949948291654325,0.003956246271887633,1.0,1.0,0.9989701338825953
10,0.07354103622580414,0.005215857084810435,1.0,1.0,0.9997422015983501
11,0.06617291697500097,0.2511811361259237,0.999905941120204,0.9999528133397394,0.906734291349676
12,0.06304453830246708,0.01650589952161643,0.9999840578169837,0.9999920139757448,0.9966399586456449
13,0.056852857007695476,0.15820737128526843,0.9889701349771495,0.9943826572494336,0.940230501206111
14,0.05656934964635687,0.08457051265523195,1.0,1.0,0.9746300211416491
15,0.05175815667505808,0.024218111934661994,0.9998124136465086,0.9999052172529879,0.9953751284686536
16,0.05452814889928531,0.007673430407042851,1.0,1.0,0.9987129987129987
17,0.051562083924408836,0.0028905008026263177,1.0,1.0,1.0
18,0.04557298398480664,0.01196077802212296,0.9999734296949729,0.9999866629262432,0.9981944802682486
19,0.04245439083101404,0.1866325783644274,0.9997443936656393,0.9998708271512564,0.9488872584984104
20,0.05175667516400624,0.018042446830810143,1.0,1.0,0.9961190168175937
