epoch,train_loss,source_val_loss,source_val_roc_auc,source_val_pr_auc,source_val_f1
1,0.7691465735435485,0.4664357125759125,0.948051948051948,0.3206349206349206,0.0
2,0.31491734782854713,0.1505717322230339,0.948051948051948,0.3206349206349206,0.0
3,0.15357938706874846,0.10454470589756966,0.948051948051948,0.3206349206349206,0.0
4,0.09917760243018468,0.08906702464446425,0.948051948051948,0.3206349206349206,0.0
5,0.07925838281710942,0.08698443938046693,0.948051948051948,0.3206349206349206,0.0
6,0.07066500969231129,0.08231414249166846,0.948051948051948,0.3206349206349206,0.0
7,0.06437732800841331,0.08163287658244371,0.9653679653679653,0.5873015873015872,0.0
8,0.05819351679335038,0.07967343423515558,1.0,1.0,0.0
9,0.05245242876311143,0.0986033871769905,1.0,1.0,0.0
10,0.04683144437149167,0.07862178906798363,1.0,1.0,0.0
11,0.042167180497199294,0.058993260562419894,1.0,1.0,0.0
12,0.03777116605391105,0.05791426901705563,1.0,1.0,0.0
13,0.03315976976106564,0.11407116502523422,1.0,1.0,0.0
14,0.03338111750781536,0.04973303115766612,1.0,1.0,0.0
15,0.028680895067130525,0.04357224507257342,1.0,1.0,0.0
16,0.02356396513059735,0.04004999749595299,1.0,1.0,0.0
17,0.02619485214042167,0.03741936966544017,1.0,1.0,0.0
18,0.020132040372118354,0.036726601191912775,1.0,1.0,0.0
19,0.019800184558456144,0.03265571448137052,1.0,1.0,0.0
20,0.016615406493656337,0.029393779928795993,1.0,1.0,1.0
