epoch,adapt_loss,n_selected,n_total,fused_score_mean,raw_dist_mean,tfr_dist_mean,agreement_mean,fused_cutoff,raw_cutoff,tfr_cutoff,agreement_cutoff
1,0.05934726198514303,24,80,0.4162246406078339,0.20160108683630823,0.9792789051309227,0.7776778182946146,0.40915912091732026,0.18987808227539063,0.8672959327697753,0.7652156874537468
2,0.053532286236683525,24,80,0.42358035817742345,0.3492473341524601,1.2496794249862433,0.9004320908337832,0.41744720935821533,0.3285301625728607,1.1298909425735473,0.8813002556562424
3,0.05411256104707718,24,80,0.42605406083166597,0.4981049865484238,1.4456140942871571,0.9475091077387333,0.41994129717350004,0.4722873568534851,1.3255553722381592,0.9187875688076019
4,0.052966841806968055,24,80,0.4256922651082277,0.6348319716751576,1.5860849283635616,0.951252956688404,0.418790465593338,0.6045136213302612,1.4649986028671265,0.9297667145729065
5,0.05194719508290291,24,80,0.42251306511461734,0.7630240090191365,1.6871524207293986,0.9241284117102623,0.41480838060379027,0.7291041731834411,1.5626503467559814,0.9022331237792969
6,0.05003204553023628,23,80,0.41725524626672267,0.8846590295433998,1.7607787653803826,0.8761197358369828,0.4088697850704193,0.8492265939712524,1.6268742561340332,0.8496488034725189
7,0.05105985701084137,23,80,0.4098630681633949,1.0041724935173988,1.8176065146923066,0.8134340211749077,0.40042621791362765,0.9722318530082703,1.6770643234252929,0.7825393974781036
8,0.05168521438132633,22,80,0.4021126877516508,1.1162859588861465,1.861113356053829,0.7448273971676826,0.3918501168489456,1.0836859226226807,1.7155796051025392,0.7085744142532349
9,0.05106009678407149,22,80,0.3953950319439173,1.2180367410182953,1.8984656676650047,0.6812560990452766,0.3845271825790405,1.1821586608886718,1.7491763591766358,0.6430421471595764
10,0.051257686787529996,19,80,0.3889866914600134,1.306831604242325,1.9298495560884477,0.6298694759607315,0.3773103266954422,1.2709370374679565,1.7778976202011108,0.588575005531311
