epoch,train_loss,source_val_loss,source_val_roc_auc,source_val_pr_auc,source_val_f1
1,0.6417957743008932,0.5199020624160766,1.0,1.0,0.0
2,0.29052488108476004,0.27614480927586554,1.0,1.0,0.0
3,0.12071051262319088,0.3007251967675984,1.0,1.0,0.0
4,0.060114575922489165,0.17892689214786514,1.0,1.0,0.6153846153846154
5,0.02655905733505885,0.08257218080107123,1.0,1.0,0.875
6,0.02399635746454199,0.06336945288639981,1.0,1.0,0.875
7,0.03312209419285258,0.03252192111103795,1.0,1.0,0.875
8,0.02939575888837377,0.01211693261284381,1.0,1.0,1.0
9,0.025216805511930337,0.046608385443687436,1.0,1.0,1.0
10,0.033812986640259626,0.16558123528957366,1.0,1.0,1.0
11,0.014890118245966732,0.010855260072275996,1.0,1.0,1.0
12,0.012073654945318897,0.00749373605940491,1.0,1.0,1.0
13,0.017240513244178145,0.12795840352773666,1.0,1.0,1.0
14,0.023450819802625724,1.1730176210403442,1.0,1.0,0.20224719101123595
15,0.0043738925907139976,0.09488842647347155,1.0,1.0,0.875
16,0.01825774786217759,0.03819650646510127,1.0,1.0,0.875
17,0.020860905531056535,0.21541260480880736,1.0,1.0,1.0
18,0.011499839862032483,0.17663266322342625,1.0,1.0,0.875
19,0.0069766660725387435,0.06950177698918196,1.0,1.0,0.875
20,0.0025432867424873013,0.023847246455261484,1.0,1.0,0.875
